song,performer
(Call Me Your) Anything Man,Bobby Moore
(Call Me Your) Anything Man,Bobby Moore
(Call Me) When The Spirit Moves You,Touch
(Call Me) When The Spirit Moves You,Touch
(Call Me) When The Spirit Moves You,Touch
(Call Me) When The Spirit Moves You,Touch
(Call Me) When The Spirit Moves You,Touch
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Can't Live Without Your) Love And Affection,Nelson
(Closest Thing To) Perfect,Jermaine Jackson
(Closest Thing To) Perfect,Jermaine Jackson
(Closest Thing To) Perfect,Jermaine Jackson
(Closest Thing To) Perfect,Jermaine Jackson
(Closest Thing To) Perfect,Jermaine Jackson
(Closest Thing To) Perfect,Jermaine Jackson
(Closest Thing To) Perfect,Jermaine Jackson
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come 'round Here) I'm The One You Need,The Miracles
(Come On) Shout,Alex Brown
(Come On) Shout,Alex Brown
(Come On) Shout,Alex Brown
(Come On) Shout,Alex Brown
(Come On) Shout,Alex Brown
(Come On) Shout,Alex Brown
(Dance The) Mess Around,Chubby Checker
(Dance The) Mess Around,Chubby Checker
(Dance The) Mess Around,Chubby Checker
(Dance The) Mess Around,Chubby Checker
(Dance The) Mess Around,Chubby Checker
(Dance The) Mess Around,Chubby Checker
(Dance The) Mess Around,Chubby Checker
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The New) Continental,The Dovells
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do The) Push And Pull Part I,Rufus Thomas
(Do You) Wanna Ride,Reel Tight
(Doin' The) Lovers Leap,Webb Pierce
(Doin' The) Lovers Leap,Webb Pierce
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Fear) The Reaper,Blue Oyster Cult
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Down At) Papa Joe's,The Dixiebelles
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Every Time I Turn Around) Back In Love Again,LTD
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(Everything I Do) I Do It For You,Bryan Adams
(For God's Sake) Give More Power To The People,The Chi-lites
(For God's Sake) Give More Power To The People,The Chi-lites
